
Bandeira;Unidade federativa;Abreviação;Sede de governo;Área (km²);População (Censo 2022);Densidade (2005);PIB (2015);(% total) (2015);PIB per capita (R$) (2015);IDH (2010);Alfabetização (2016);Mortalidade infantil (2016);Expectativa de vida (2016)
NaN;Acre;AC;Rio Branco;164 122,2;830 018;4,30;13 622 000;0,2;16 953,46;0,663;86,9%;17,0‰;73,9 anos
NaN;Alagoas;AL;Maceió;27 767,7;3 127 683;108,61;46 364 000;0,8;13 877,53;0,631;80,6%;19,5‰;71,6 anos
NaN;Amapá;AP;Macapá;142 814,6;733 759;4,16;13 861 000;0,2;18 079,54;0,708;95%;23,2‰;73,9 anos
NaN;Amazonas;AM;Manaus;1 570 745,7;3 941 613;2,05;86 560 000;1,4;21 978,95;0,674;93,1%;18,2‰;71,9 anos
NaN;Bahia;BA;Salvador;564 692,7;14 141 626;24,46;245 025 000;4,1;16 115,89;0,660;87%;17,3‰;73,5 anos
NaN;Ceará;CE;Fortaleza;148 825,6;8 794 957;54,40;130 621 000;2,2;14 669,14;0,682;84,8%;14,4‰;73,8 anos
NaN;Distrito Federal;DF;Brasília;5 822,1;2 817 381;400,73;215 613 000;3,6;73 971,05;0,824;97,4%;10,5‰;78,1 anos
NaN;Espírito Santo;ES;Vitória;46 077,5;3 833 712;73,97;120 363 000;2;30 627,45;0,740;93,8%;8,8‰;78,2 anos
NaN;Goiás;GO;Goiânia;340 086,7;7 056 495;16,52;173 632 000;2,9;26 265,32;0,735;93,5%;14,9‰;74,2 anos
NaN;Maranhão;MA;São Luís;331 983,3;6 755 805;18,38;78 475 000;1,3;11 366,23;0,639;83,3%;21,3‰;70,6 anos
NaN;Mato Grosso;MT;Cuiabá;903 357,9;3 658 649;3,10;107 418 000;1,8;32 894,96;0,725;93,5%;16,9‰;74,2 anos
NaN;Mato Grosso do Sul;MS;Campo Grande;357 125,0;2 757 013;6,34;83 082 000;1,4;31 337,22;0,729;93,7%;14,0‰;75,5 anos
NaN;Minas Gerais;MG;Belo Horizonte;586 528,3;20 539 989;32,79;519 326 000;8,7;24 884,94;0,731;93,8%;10,9‰;77,2 anos
NaN;Pará;PA;Belém;1 247 689,5;8 121 025;5,58;130 883 000;2,2;16 009,98;0,646;90,7%;16,6‰;72,1 anos
NaN;Paraíba;PB;João Pessoa;56 439,8;3 974 687;63,71;56 140 000;0,9;14 133,32;0,658;83,7%;16,1‰;73,2 anos
NaN;Paraná;PR;Curitiba;199 314,9;11 444 380;51,48;376 960 000;6,3;33 768,62;0,749;95,5%;9,3‰;77,1 anos
NaN;Pernambuco;PE;Recife;98 311,6;9 058 931;85,58;156 955 000;2,6;16 795,34;0,673;87,2%;12,7‰;73,9 anos
NaN;Piauí;PI;Teresina;251 529,2;3 271 199;11,95;39 148 000;0,7;12 218,51;0,646;82,8%;19,1‰;71,1 anos
NaN;Rio de Janeiro;RJ;Rio de Janeiro;43 696,1;16 055 174;352,05;659 137 000;11;39 826,95;0,761;97,3%;11,5‰;76,2 anos
NaN;Rio Grande do Norte;RN;Natal;52 796,8;3 302 729;56,88;57 250 000;1;16 631,86;0,684;85,3%;14,7‰;75,7 anos
NaN;Rio Grande do Sul;RS;Porto Alegre;281 748,5;11 882 965;38,49;381 985 000;6,4;33 960,36;0,746;96,8%;9,6‰;77,8 anos
NaN;Rondônia;RO;Porto Velho;237 576,2;1 581 196;6,46;36 563 000;0,6;20 677,95;0,690;93,3%;20,0‰;71,3 anos
NaN;Roraima;RR;Boa Vista;224 299,0;636 707;1,74;10 354 000;0,2;20 476,71;0,707;93,4%;17,2‰;71,5 anos
NaN;Santa Catarina;SC;Florianópolis;95 346,2;7 610 361;61,53;249 073 000;4,2;36 525,28;0,774;97,2%;9,2‰;79,1 anos
NaN;São Paulo;SP;São Paulo;248 209,4;44 411 238;162,93;1 939 890 000;32,4;43 694,68;0,783;97,2%;9,9‰;78,1 anos
NaN;Sergipe;SE;Aracaju;21 910,3;2 210 004;89,81;38 554 000;0,6;17 189,28;0,665;85,3%;16,2‰;72,7 anos
NaN;Tocantins;TO;Palmas;277 620,9;1 511 460;4,70;28 930 000;0,5;19 094,16;0,699;89,6%;15,8‰;73,4 anos
